title,company,location,link
Mind AI - Python Backend Engineer 개발자,서울 중구,(주)마인드에이아이,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41836485&location=ts&searchword=python&searchType=search&paid_fl=n
[카카오자회사] 카카오 공동체 자연어처리/AI기반 Python 개발자,경기 성남시 분당구,(주)디케이테크인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41751448&location=ts&searchword=python&searchType=search&paid_fl=n
python 백엔드 개발자, 광주전체,(주)카라멜라,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41294570&location=ts&searchword=python&searchType=search&paid_fl=n
서버프로그래밍(Javascript 또는 Python) 및 Docker container 관리, 서울전체,(주)애자일소다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41141753&location=ts&searchword=python&searchType=search&paid_fl=n
"프론트엔드 (React.JS) / 백엔드 (JAVA, Python, Go) 채용",서울 강남구,주식회사 디앤디커뮤니케이션즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41750664&location=ts&searchword=python&searchType=search&paid_fl=n
[IMS모빌리티] 백엔드 개발자 (Python), 서울전체,아이엠에스모빌리티(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41608121&location=ts&searchword=python&searchType=search&paid_fl=n
[숨고] Jr. Back-end Engineer (Python), 서울전체,(주)브레이브모바일,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40425928&location=ts&searchword=python&searchType=search&paid_fl=n
[숨고] Sr. Back-end Engineer (Python), 서울전체,(주)브레이브모바일,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41589588&location=ts&searchword=python&searchType=search&paid_fl=n
[캐치시큐-경력] Python 주니어 개발자, 서울전체,(주)오내피플,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41858192&location=ts&searchword=python&searchType=search&paid_fl=n
"웹개발(Java·JSP, ASP, Python, PHP) 채용",서울 강남구,(주)글로벌마켓포커스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41914057&location=ts&searchword=python&searchType=search&paid_fl=n
IT개발·데이터(Python/C언어/C# 외 1개 부문) 채용,서울 중구,(주)큐닷씨연구소,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41930842&location=ts&searchword=python&searchType=search&paid_fl=n
"대기업 Ecommerce-IT개발·데이터(Java, PL/SQL, Python) 채용",서울 강남구,주식회사라피플코리아리미티드,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41975941&location=ts&searchword=python&searchType=search&paid_fl=n
[서울]웹 Python/Java 개발자를 모십니다.,서울 강남구,문송컴퍼니(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41948607&location=ts&searchword=python&searchType=search&paid_fl=n
AI·Python 엔지니어를 채용합니다,서울 강남구,올거나이즈 코리아,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41547987&location=ts&searchword=python&searchType=search&paid_fl=n
"풀스택 Python 개발자 모집, Full-stack Python Developer",서울 용산구,(주)디엠랩,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41818701&location=ts&searchword=python&searchType=search&paid_fl=n
Python/Django 백엔드개발자 (NFT스타트업),서울 강남구,민트클립,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41884643&location=ts&searchword=python&searchType=search&paid_fl=n
[합정역 3분거리] Python 백엔드 개발자,서울 마포구,(주)펫박스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41907282&location=ts&searchword=python&searchType=search&paid_fl=n
Python 개발자 모집합니다.,부산 기장군,(주)아이렘기술개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41909696&location=ts&searchword=python&searchType=search&paid_fl=n
Python Backend Engineer 직군 모집, 서울전체,(주)에이젠글로벌,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41100115&location=ts&searchword=python&searchType=search&paid_fl=n
[Wavebridge] Back End Developer (Python),서울 영등포구,(주)웨이브릿지,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40425768&location=ts&searchword=python&searchType=search&paid_fl=n
핀테크 신규서비스 Python 백엔드 개발자, 서울전체,(주)샐러드랩,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41776226&location=ts&searchword=python&searchType=search&paid_fl=n
알파리뷰 글로벌 프로덕트 파이썬 Python 백엔드 개발자, 서울전체,(주)샐러드랩,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41101631&location=ts&searchword=python&searchType=search&paid_fl=n
웹개발(Java·JSP/Python/프론트엔드 외 1개 부문) 채용 공고,서울 서초구,시우컴퍼니,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41498803&location=ts&searchword=python&searchType=search&paid_fl=n
AI 에듀테크 스타트업 백엔드개발 (python),서울 강남구,KY컨설팅그룹,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41880561&location=ts&searchword=python&searchType=search&paid_fl=n
"(신입경력) AI딥러닝,OCR S/W개발(Java,Python)",서울 송파구,코드원시스템,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41560322&location=ts&searchword=python&searchType=search&paid_fl=n
"응용프로그램개발(Python, .NET外 3개 부문) 채용",경북 포항시 북구,센싱플러스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41800572&location=ts&searchword=python&searchType=search&paid_fl=n
AI BIGDATA Python Machine Vision/Computer control/MFC/C#,충남 천안시 동남구,화랑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41821095&location=ts&searchword=python&searchType=search&paid_fl=n
"ERP,MES,스마트공장,유통,AI:C#,.Net,Java,Python 주4.5",서울 금천구,(주)케이언트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41844465&location=ts&searchword=python&searchType=search&paid_fl=n
Python 백엔드 개발자, 서울전체,(주)펫박스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41895007&location=ts&searchword=python&searchType=search&paid_fl=n
"[신입/경력] PHP, Python 웹개발자 채용",경기 성남시 분당구,(주)플랙스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41808099&location=ts&searchword=python&searchType=search&paid_fl=n
"JAVA, R, Python 훈련 과정 교, 강사님을 모십니다.",서울 구로구,제이엠피코리아(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41899500&location=ts&searchword=python&searchType=search&paid_fl=n
[국비지원IT교육]자바&파이썬 웹애플리케이션 전문가 양성과정,서울 서초구,(주)케이티디에스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41825011&location=ts&searchword=python&searchType=search&paid_fl=n
